lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
395152,357208,404977,2.44,2,1,5,396286,182.4,1473,409311
409311,370553,409311,1.96,1,5,5,395160,254.9,1473,395160
409311,395152,395152,1.1,7,3,5,357208,63.3,1473,357208
403631,404977,404977,1.06,2,1,5,362969,127.8,1473,362969
404977,395152,361469,1.19,1,4,5,357208,297.8,1473,357208
370553,357208,403631,0.93,3,0,5,357208,226.2,1473,357208
404977,409311,396286,2.57,8,0,5,370553,139.6,1473,403631
395160,395152,395152,0.96,3,2,5,395160,129.0,1473,395160
396286,395152,357208,2.58,3,3,5,403631,139.7,1473,403631
395160,409311,357208,1.51,1,3,5,395160,99.5,1473,395160
361469,361469,357208,1.03,2,2,5,370553,180.5,1473,370553
409311,361469,395160,2.42,7,5,5,396286,177.9,1473,404977
404977,403631,396286,1.75,1,4,5,404977,293.5,1473,404977
395160,404977,404977,0.52,8,3,5,403631,290.9,1473,403631
396286,409311,370553,2.0,5,0,5,361469,221.6,1473,370553
370553,395160,409311,1.65,1,1,5,396286,35.8,1473,396286
361469,370553,395160,1.47,1,1,5,404977,211.8,1473,370553
404977,409311,396286,1.21,1,5,5,361469,194.7,1473,361469
396286,370553,395152,0.68,1,4,5,409311,70.9,1473,357208
409311,403631,395160,1.53,3,2,5,409311,48.4,1473,409311
357208,357208,361469,0.61,1,2,5,395152,87.9,1473,395152
370553,396286,396286,2.76,2,3,5,409311,71.0,1473,409311
395152,361469,395160,0.79,6,0,5,357208,150.7,1473,357208
361469,403631,409311,1.32,4,4,5,395152,147.4,1473,362969
403631,361469,395160,0.57,7,4,5,409311,289.1,1473,409311
395160,361469,370553,2.56,1,5,5,370553,139.9,1473,370553
357208,404977,361469,1.55,2,1,5,396286,3.7,1473,396286
395160,403631,409311,0.61,2,4,5,357208,114.0,1473,357208
396286,409311,409311,1.13,7,4,5,409311,94.7,1473,409311
396286,395160,361469,1.23,2,3,5,404977,219.3,1473,404977
357208,395152,370553,2.29,2,2,5,404977,247.1,1473,404977
395160,395152,404977,2.08,6,4,5,362969,19.9,1473,362969
395152,357208,395160,0.81,1,2,5,403631,70.6,1473,361469
370553,395152,396286,2.14,2,4,5,395152,112.8,1473,395152
403631,357208,403631,1.54,8,0,5,395152,62.6,1473,395152
396286,396286,395160,1.81,1,3,5,409311,287.7,1473,409311
403631,396286,395160,1.76,2,0,5,395160,174.3,1473,395160
404977,357208,403631,0.97,1,3,5,409311,28.2,1473,409311
370553,370553,395152,2.13,2,0,5,370553,98.7,1473,370553
395160,409311,403631,0.58,2,1,5,361469,230.3,1473,361469
396286,357208,395160,1.13,7,5,5,404977,53.6,1473,404977
396286,395152,361469,2.84,4,4,5,362969,43.9,1473,362969
395160,370553,403631,1.68,1,1,5,403631,123.0,1473,357208
404977,357208,396286,2.72,5,2,5,395152,116.0,1473,395152
396286,357208,404977,2.83,7,2,5,409311,274.8,1473,396286
395152,370553,403631,1.29,1,2,5,403631,9.3,1473,395160
370553,357208,370553,1.34,7,5,5,396286,175.6,1473,395152
395160,404977,395152,0.58,1,5,5,404977,259.3,1473,403631
357208,361469,396286,1.64,1,1,5,357208,226.1,1473,357208
395152,361469,404977,1.25,1,1,5,396286,146.8,1473,396286
370553,403631,361469,1.57,3,2,5,404977,111.1,1473,404977
357208,409311,361469,1.13,8,4,5,362969,270.2,1473,362969
361469,357208,403631,2.33,2,4,5,403631,59.2,1473,370553
403631,361469,409311,1.49,4,2,5,404977,4.7,1473,404977
361469,409311,395152,1.05,1,1,5,409311,166.8,1473,395152
395160,404977,395160,2.54,3,3,5,409311,118.5,1473,409311
357208,396286,395160,1.15,1,4,5,409311,77.3,1473,361469
357208,395152,403631,2.4,3,2,5,395160,274.0,1473,395160
357208,361469,395152,0.55,6,3,5,362969,116.8,1473,362969
395152,396286,403631,0.9,1,2,5,357208,148.2,1473,361469
409311,409311,403631,0.64,5,0,5,357208,182.0,1473,357208
403631,395160,409311,2.17,6,2,5,370553,241.9,1473,396286
357208,361469,395160,2.19,1,3,5,396286,57.8,1473,357208
357208,403631,395160,0.63,7,4,5,404977,122.9,1473,404977
395160,403631,404977,1.88,6,3,5,403631,209.9,1473,403631
395160,396286,403631,0.56,1,5,5,396286,121.2,1473,396286
409311,395152,409311,0.59,3,1,5,357208,85.7,1473,361469
361469,395152,395160,1.22,1,1,5,396286,194.9,1473,396286
395152,370553,395152,1.64,8,1,5,370553,126.7,1473,370553
370553,395152,357208,1.12,1,5,5,409311,182.0,1473,396286
404977,404977,395152,0.52,1,0,5,395152,147.7,1473,404977
370553,357208,396286,1.62,2,4,5,395160,290.2,1473,395160
357208,403631,403631,1.18,1,0,5,396286,265.4,1473,396286
404977,403631,357208,2.52,2,3,5,403631,73.1,1473,403631
395160,396286,395152,2.35,1,1,5,357208,92.7,1473,409311
361469,395152,395152,1.77,2,0,5,362969,241.9,1473,362969
361469,395160,370553,1.67,8,0,5,395160,192.5,1473,395152
403631,357208,404977,0.72,3,3,5,403631,285.2,1473,403631
357208,361469,370553,1.82,7,2,5,370553,136.7,1473,370553
357208,404977,403631,1.75,1,0,5,409311,63.4,1473,409311
395152,357208,409311,1.64,7,4,5,404977,248.9,1473,403631
370553,396286,370553,2.52,1,4,5,395152,59.0,1473,395152
409311,404977,361469,1.58,1,1,5,403631,232.6,1473,403631
395160,396286,404977,2.59,2,2,5,361469,62.8,1473,361469
395152,409311,409311,1.01,8,3,5,395160,128.6,1473,362969
404977,395160,404977,1.58,1,2,5,357208,202.2,1473,357208
395160,361469,409311,1.35,2,2,5,357208,290.8,1473,396286
403631,370553,396286,1.76,8,0,5,409311,282.4,1473,362969
370553,396286,395160,2.48,2,0,5,395152,23.6,1473,395152
361469,395160,403631,2.75,1,1,5,357208,198.7,1473,357208
361469,403631,395152,2.69,4,3,5,361469,249.1,1473,404977
357208,404977,404977,2.57,1,1,5,403631,204.9,1473,403631
396286,395152,395160,1.62,3,4,5,409311,72.4,1473,409311
370553,395160,395160,1.44,3,5,5,361469,99.7,1473,361469
403631,361469,409311,2.15,2,5,5,403631,186.5,1473,403631
357208,395160,370553,1.63,3,2,5,395160,226.6,1473,395160
403631,357208,404977,1.62,4,2,5,409311,23.6,1473,362969
396286,403631,403631,2.54,2,5,5,409311,288.7,1473,404977
404977,404977,395152,1.95,2,3,5,396286,281.5,1473,396286
403631,409311,370553,2.14,5,4,5,409311,68.1,1473,396286
361469,361469,409311,1.14,6,4,5,395152,46.7,1473,409311
404977,396286,361469,2.81,3,0,5,404977,252.5,1473,404977
370553,370553,409311,0.59,3,5,5,362969,194.1,1473,362969
395160,357208,396286,0.93,2,3,5,361469,151.1,1473,361469
395160,409311,395152,2.11,1,2,5,409311,181.0,1473,409311
409311,403631,403631,2.73,1,4,5,361469,9.8,1473,361469
403631,404977,370553,1.32,1,3,5,409311,225.9,1473,409311
409311,403631,409311,1.47,7,2,5,395160,228.1,1473,403631
370553,361469,357208,1.71,2,1,5,395152,172.8,1473,395152
395160,395152,403631,1.38,1,3,5,370553,145.3,1473,361469
357208,395160,357208,1.18,1,4,5,357208,228.8,1473,357208
403631,370553,361469,1.15,2,2,5,370553,107.0,1473,370553
395152,395160,404977,1.94,8,0,5,362969,254.3,1473,362969
403631,361469,370553,2.56,1,5,5,409311,209.1,1473,409311
395160,404977,395152,0.65,5,5,5,357208,96.9,1473,396286
404977,370553,403631,2.39,8,5,5,409311,54.9,1473,409311
357208,403631,396286,0.91,2,3,5,396286,41.9,1473,396286
409311,404977,361469,1.3,2,3,5,395152,241.0,1473,370553
370553,370553,357208,1.91,1,1,5,395160,82.5,1473,357208
403631,357208,404977,0.68,2,1,5,370553,224.4,1473,370553
403631,370553,357208,2.17,8,0,5,396286,172.5,1473,396286
395152,396286,409311,2.18,2,0,5,396286,38.1,1473,396286
396286,396286,357208,0.75,2,1,5,357208,91.5,1473,357208
404977,357208,404977,1.47,1,4,5,395160,125.3,1473,395160
357208,404977,396286,1.99,3,1,5,396286,92.8,1473,396286
395152,357208,404977,2.95,1,5,5,395152,278.2,1473,395152
357208,404977,396286,2.79,5,2,5,361469,222.5,1473,403631
361469,370553,396286,0.62,2,2,5,404977,224.1,1473,404977
409311,361469,409311,2.01,8,1,5,362969,220.8,1473,362969
404977,361469,409311,1.59,5,2,5,361469,190.4,1473,361469
409311,361469,361469,0.95,2,5,5,361469,215.4,1473,409311
409311,357208,395160,2.27,2,4,5,357208,260.2,1473,357208
404977,361469,395160,2.81,2,5,5,370553,123.2,1473,370553
403631,409311,395160,1.43,1,5,5,357208,99.1,1473,357208
409311,403631,361469,0.88,8,5,5,395160,132.0,1473,395160
403631,396286,409311,2.54,6,5,5,409311,208.6,1473,395160
396286,404977,357208,2.35,1,1,5,357208,110.4,1473,404977
357208,370553,396286,1.97,8,5,5,403631,3.5,1473,409311
396286,370553,395160,1.65,4,0,5,395152,149.2,1473,395152
370553,403631,404977,1.14,7,4,5,409311,17.1,1473,409311
370553,395160,357208,1.87,1,3,5,395160,271.5,1473,395160
395160,409311,357208,2.0,1,4,5,396286,37.2,1473,396286
395160,395160,361469,1.53,7,2,5,403631,139.0,1473,403631
403631,357208,395160,2.36,2,1,5,361469,110.8,1473,395152
357208,395152,396286,0.7,1,3,5,403631,214.2,1473,403631
361469,370553,370553,1.32,5,5,5,395152,191.8,1473,395152
396286,409311,404977,2.99,4,5,5,403631,89.6,1473,362969
404977,395160,403631,2.63,1,1,5,395152,297.3,1473,403631
361469,404977,361469,2.62,1,3,5,357208,287.6,1473,357208
403631,403631,357208,2.28,1,0,5,395160,9.0,1473,395160
396286,395152,403631,1.96,2,0,5,396286,296.4,1473,396286
396286,361469,370553,1.91,1,4,5,370553,267.4,1473,370553
357208,403631,361469,2.2,1,1,5,395160,208.3,1473,395160
