lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
361469,357211,370553,2.46,1,5,5,359073,275.0,1467,359073
356995,357211,370553,1.22,4,5,5,361469,162.4,1467,357210
357208,357211,370452,0.84,4,5,5,436335,291.3,1467,436335
362969,370553,375087,0.62,1,1,5,370452,54.5,1467,370452
375087,375087,362969,2.51,7,4,5,356995,45.6,1467,357210
359073,357211,362969,1.18,1,3,5,357208,156.9,1467,357208
362969,357210,370553,2.67,6,2,5,357211,16.6,1467,357211
356995,357211,359073,2.89,7,4,5,357210,19.4,1467,357210
362969,375087,436335,2.12,3,2,5,356995,281.7,1467,356995
359073,362969,375087,2.0,1,2,5,359073,41.7,1467,359073
356995,357211,436335,1.84,3,3,5,370452,263.4,1467,370452
370452,436335,357210,0.75,1,4,5,357208,147.5,1467,375087
362969,361469,357208,1.41,1,0,5,356995,89.4,1467,356995
375087,357210,362969,2.96,7,4,5,362969,49.8,1467,362969
357210,356995,370553,2.64,1,0,5,361469,212.7,1467,361469
357208,436335,370553,2.31,1,3,5,370553,296.0,1467,370553
370553,357208,370452,2.01,1,4,5,359073,26.0,1467,359073
370452,357208,361469,2.55,7,2,5,356995,86.1,1467,356995
359073,361469,362969,1.5,1,5,5,361469,294.2,1467,356995
357211,357210,361469,1.4,8,3,5,359073,251.1,1467,359073
359073,357208,359073,2.6,4,4,5,362969,228.5,1467,362969
357208,361469,370553,1.7,4,0,5,370452,224.1,1467,370452
357208,359073,357208,2.68,2,0,5,361469,246.0,1467,361469
370553,357211,375087,1.57,5,4,5,436335,210.6,1467,436335
375087,370553,357208,2.63,1,2,5,357208,115.0,1467,357208
370452,375087,370452,1.13,1,3,5,361469,260.4,1467,361469
359073,370553,359073,1.27,1,5,5,357208,154.2,1467,357208
357208,370553,370553,1.72,1,4,5,359073,143.0,1467,359073
370553,357210,356995,1.14,8,1,5,436335,244.3,1467,436335
359073,356995,362969,1.61,7,1,5,357210,159.7,1467,357210
370553,356995,375087,1.73,1,0,5,370452,24.0,1467,370452
370452,370553,436335,1.11,5,3,5,362969,195.8,1467,362969
370452,370553,436335,1.49,1,4,5,356995,180.2,1467,370553
357211,370553,370553,1.91,7,1,5,357211,148.9,1467,436335
357210,370452,357208,2.33,3,4,5,356995,151.5,1467,356995
357211,357208,357208,1.27,4,5,5,370452,15.9,1467,357211
357210,370553,357208,0.66,3,2,5,370452,298.8,1467,356995
359073,357211,357208,2.54,7,5,5,359073,228.5,1467,359073
361469,370553,361469,1.68,3,1,5,370553,129.5,1467,370553
357211,357211,361469,2.81,4,5,5,357210,290.4,1467,357210
375087,375087,370553,2.03,8,5,5,359073,274.5,1467,370452
357211,362969,370452,2.72,2,1,5,361469,71.1,1467,361469
357211,357211,357208,0.6,3,2,5,436335,206.6,1467,436335
436335,357210,375087,1.62,6,3,5,357210,189.1,1467,357210
361469,436335,375087,1.93,5,3,5,359073,138.5,1467,359073
436335,357211,375087,2.2,6,1,5,436335,76.8,1467,436335
370553,357211,375087,0.86,4,3,5,362969,292.5,1467,362969
370452,357210,356995,1.53,2,3,5,370553,286.3,1467,370553
357211,356995,436335,0.9,2,5,5,436335,4.6,1467,356995
370553,436335,357208,1.03,4,0,5,370553,167.2,1467,370553
357208,370452,357208,2.58,7,0,5,357210,141.2,1467,436335
357210,370553,375087,1.36,3,1,5,356995,226.7,1467,356995
362969,357210,357210,1.12,5,4,5,362969,72.7,1467,362969
362969,361469,370553,1.0,5,4,5,362969,250.3,1467,362969
357211,359073,436335,0.6,8,2,5,362969,51.5,1467,362969
357208,357208,370553,2.79,4,4,5,375087,290.5,1467,356995
362969,361469,436335,2.53,8,3,5,375087,68.6,1467,357210
356995,370553,436335,0.73,3,0,5,362969,184.0,1467,370452
357211,375087,370452,2.96,3,5,5,357210,227.6,1467,357210
356995,359073,359073,2.79,6,3,5,370452,191.9,1467,370452
359073,359073,436335,0.86,7,1,5,359073,191.3,1467,359073
359073,361469,362969,0.98,3,5,5,357210,124.4,1467,362969
370452,370553,359073,2.13,6,4,5,370452,184.3,1467,370452
359073,356995,356995,2.32,4,0,5,370452,166.2,1467,357210
362969,359073,357208,1.22,5,0,5,362969,181.0,1467,362969
359073,359073,359073,1.78,1,1,5,370452,271.4,1467,370452
370553,357211,361469,2.47,5,4,5,375087,221.3,1467,375087
375087,357211,357211,1.36,2,3,5,357208,108.3,1467,370452
370452,357211,357208,2.33,4,0,5,362969,84.2,1467,362969
357210,436335,357211,1.98,1,5,5,357208,84.3,1467,370452
375087,375087,375087,1.14,1,1,5,356995,191.0,1467,361469
436335,375087,361469,1.77,1,4,5,370553,157.7,1467,359073
357210,357208,357211,2.01,6,2,5,375087,137.1,1467,370553
357211,436335,357208,2.5,1,2,5,357208,37.5,1467,370452
357211,375087,370452,0.79,3,1,5,357208,277.1,1467,357208
357211,357211,357211,0.95,3,0,5,359073,78.4,1467,359073
356995,370553,370553,2.1,1,3,5,359073,144.2,1467,361469
359073,370452,370452,1.49,1,0,5,370452,54.2,1467,359073
370452,362969,375087,0.94,7,3,5,357210,85.6,1467,357210
375087,370553,362969,2.94,3,0,5,370553,234.4,1467,370553
357211,357211,359073,2.7,3,3,5,357211,223.5,1467,357211
357211,359073,357210,0.64,6,3,5,370553,229.8,1467,361469
370553,370452,362969,1.01,1,4,5,361469,51.5,1467,357208
375087,362969,361469,2.17,5,3,5,361469,241.1,1467,361469
375087,357211,375087,1.58,8,2,5,362969,187.1,1467,362969
375087,359073,357208,2.63,3,2,5,357210,227.0,1467,357210
361469,359073,375087,1.19,1,2,5,361469,27.6,1467,370553
359073,370452,362969,2.4,3,5,5,361469,211.2,1467,361469
362969,436335,361469,0.54,6,4,5,357211,104.2,1467,356995
357208,436335,359073,1.54,3,2,5,362969,93.8,1467,362969
436335,357208,357210,1.03,4,0,5,357211,10.8,1467,357208
375087,357211,357210,2.45,2,0,5,370452,63.1,1467,370452
357211,375087,357208,0.72,7,3,5,359073,20.5,1467,359073
361469,357208,375087,0.83,2,2,5,357211,13.2,1467,375087
356995,362969,375087,0.93,3,1,5,370452,99.1,1467,436335
357211,359073,357210,1.4,5,4,5,357211,194.7,1467,357211
370553,359073,362969,2.92,2,4,5,356995,148.2,1467,370452
357211,357210,370553,0.96,4,2,5,357211,160.0,1467,357211
375087,375087,357211,1.0,5,5,5,370553,221.6,1467,370553
356995,357208,357210,2.32,7,1,5,357210,114.3,1467,370452
357208,370553,362969,1.59,1,5,5,370553,131.7,1467,359073
357208,362969,375087,1.52,2,4,5,361469,259.7,1467,361469
436335,357211,359073,1.99,1,3,5,370553,144.3,1467,370553
362969,361469,370553,1.46,1,2,5,357211,255.9,1467,370452
357211,357211,359073,0.92,8,0,5,375087,22.3,1467,375087
359073,356995,357211,2.74,1,5,5,375087,84.4,1467,375087
370452,357208,375087,2.77,5,1,5,370553,87.8,1467,436335
357208,357210,370553,2.54,3,0,5,357211,58.8,1467,357211
362969,361469,357211,1.03,2,5,5,370452,117.9,1467,375087
362969,370452,362969,2.82,4,5,5,375087,263.8,1467,356995
361469,357208,359073,0.81,1,3,5,357208,140.1,1467,357208
361469,370452,370452,1.08,3,4,5,357208,252.8,1467,357208
361469,356995,356995,2.64,1,0,5,359073,107.7,1467,359073
436335,362969,370553,1.03,3,1,5,357208,297.3,1467,357208
375087,370553,370553,2.74,1,1,5,357208,14.8,1467,357208
375087,370553,375087,2.97,3,4,5,375087,70.5,1467,375087
375087,370553,370452,2.77,3,3,5,357211,149.8,1467,357211
359073,357210,357210,2.71,7,0,5,357210,90.9,1467,357210
359073,357210,370553,2.8,1,5,5,357211,169.5,1467,370553
356995,357211,361469,0.58,3,0,5,370553,279.1,1467,361469
356995,357210,436335,1.79,1,5,5,357208,255.3,1467,357208
356995,361469,357210,2.55,3,1,5,370553,87.1,1467,370452
357210,361469,357211,2.89,1,2,5,356995,14.1,1467,356995
436335,357210,356995,2.29,2,2,5,362969,134.7,1467,362969
357211,375087,375087,0.86,3,4,5,362969,197.1,1467,362969
357208,359073,357211,0.84,3,0,5,357211,182.4,1467,357211
359073,359073,356995,0.93,3,2,5,370553,150.0,1467,361469
356995,356995,362969,2.18,1,1,5,370452,118.9,1467,370452
357208,375087,359073,2.33,3,0,5,361469,17.3,1467,361469
362969,370553,436335,2.6,4,5,5,436335,125.0,1467,436335
436335,361469,357208,0.79,1,3,5,356995,104.3,1467,370452
357210,375087,357208,1.03,5,5,5,375087,285.1,1467,375087
359073,357208,375087,1.23,7,4,5,362969,268.6,1467,436335
357210,357211,370452,0.83,1,1,5,361469,161.6,1467,361469
436335,375087,436335,1.44,5,0,5,361469,291.2,1467,361469
359073,362969,359073,2.81,1,0,5,370452,14.2,1467,370452
357208,370553,436335,1.8,2,4,5,361469,243.6,1467,361469
375087,362969,436335,1.83,1,1,5,370452,8.0,1467,370452
357211,357211,375087,2.24,1,1,5,375087,207.4,1467,375087
357211,375087,357208,0.57,3,4,5,370452,159.1,1467,370452
356995,356995,356995,1.02,3,3,5,357210,81.9,1467,357210
362969,357208,362969,0.58,3,1,5,357208,257.8,1467,370553
361469,370553,370452,0.57,2,1,5,362969,276.9,1467,362969
362969,357210,370452,1.7,2,1,5,357211,13.6,1467,375087
356995,436335,357210,2.76,2,4,5,356995,180.9,1467,356995
370553,357210,357211,2.43,7,3,5,357210,93.1,1467,357210
362969,361469,356995,2.46,2,4,5,370452,216.4,1467,362969
359073,357210,357208,2.87,1,2,5,361469,90.1,1467,361469
375087,357211,362969,1.79,3,1,5,357208,240.1,1467,357208
362969,362969,436335,1.33,1,2,5,359073,82.3,1467,359073
357210,357208,370553,2.45,1,2,5,375087,177.5,1467,375087
356995,357210,370553,1.3,6,2,5,375087,164.1,1467,375087
356995,357208,357211,0.85,3,2,5,357210,78.8,1467,357210
370452,361469,436335,1.66,6,5,5,357211,218.7,1467,357211
357211,436335,361469,1.99,3,2,5,370553,171.0,1467,370553
357208,357211,370452,0.66,5,4,5,357210,41.8,1467,357210
357208,356995,375087,1.88,2,5,5,375087,216.1,1467,375087
370452,370553,359073,2.67,8,0,5,357211,57.6,1467,357211
370452,357208,370553,2.29,1,2,5,361469,54.3,1467,361469
370452,357208,436335,1.3,3,4,5,436335,73.4,1467,436335
357208,359073,356995,2.63,1,2,5,370452,73.2,1467,370452
436335,361469,370553,0.97,1,1,5,357211,88.1,1467,359073
356995,357210,357208,2.45,3,5,5,370452,233.4,1467,370452
359073,375087,370452,2.25,6,5,5,357211,55.4,1467,357211
357208,362969,370553,0.78,3,5,5,357208,205.2,1467,357208
370452,370452,357211,0.88,7,3,5,362969,214.9,1467,362969
375087,375087,357208,1.59,8,1,5,370452,151.7,1467,362969
375087,362969,356995,2.91,2,3,5,436335,42.1,1467,370553
357211,356995,436335,0.65,7,0,5,436335,217.4,1467,436335
359073,359073,370553,2.89,3,1,5,359073,69.6,1467,370452
375087,357210,356995,1.24,6,5,5,359073,257.6,1467,359073
436335,356995,370452,1.9,7,2,5,362969,64.5,1467,362969
370553,361469,357211,1.93,1,2,5,361469,20.1,1467,361469
357210,357210,357211,1.23,4,3,5,357210,284.3,1467,357210
357208,361469,361469,2.35,8,2,5,357211,31.9,1467,370553
370452,375087,436335,2.21,6,0,5,362969,114.8,1467,362969
370452,359073,357208,1.86,4,1,5,357211,163.7,1467,357211
356995,362969,357211,2.13,3,0,5,436335,46.8,1467,436335
370553,357208,359073,1.06,1,1,5,359073,254.1,1467,359073
357208,370553,356995,0.91,1,5,5,359073,153.8,1467,359073
359073,359073,362969,0.55,1,5,5,356995,227.6,1467,375087
357211,362969,436335,0.93,7,0,5,357211,154.4,1467,436335
361469,362969,361469,2.6,2,0,5,356995,130.8,1467,356995
375087,370553,362969,1.79,1,2,5,359073,50.3,1467,370452
359073,361469,356995,2.98,1,2,5,357208,187.7,1467,357208
375087,375087,357211,1.47,7,5,5,357208,240.3,1467,357208
436335,436335,370553,1.56,5,3,5,375087,271.9,1467,375087
370553,357208,362969,1.04,2,2,5,362969,299.5,1467,356995
362969,356995,375087,1.18,6,5,5,361469,198.5,1467,359073
362969,436335,357210,0.87,1,1,5,370452,273.4,1467,370452
357210,370452,375087,1.08,1,2,5,359073,232.1,1467,359073
356995,362969,375087,2.24,7,3,5,361469,104.2,1467,361469
361469,375087,375087,0.96,3,4,5,357208,117.0,1467,357208
361469,356995,375087,0.74,8,4,5,370553,75.3,1467,370553
370452,375087,359073,2.43,6,4,5,362969,293.8,1467,362969
361469,357210,357210,1.99,8,0,5,375087,226.2,1467,370452
362969,375087,359073,2.61,5,3,5,357210,110.4,1467,357210
359073,357210,357210,2.92,7,5,5,370452,19.3,1467,356995
359073,359073,370452,0.81,6,1,5,357210,145.7,1467,357210
436335,375087,375087,1.71,2,0,5,375087,205.4,1467,375087
436335,370452,359073,0.7,5,4,5,436335,96.9,1467,436335
370553,436335,362969,0.53,1,3,5,361469,16.3,1467,370553
361469,375087,361469,1.95,1,1,5,356995,117.1,1467,356995
357208,357210,357210,2.65,1,5,5,361469,0.4,1467,361469
375087,359073,357210,1.04,2,1,5,362969,102.3,1467,370452
357211,357210,362969,1.28,7,0,5,356995,175.5,1467,357211
375087,370553,356995,1.44,4,1,5,357208,121.0,1467,357208
362969,436335,357208,2.1,8,1,5,370553,54.0,1467,370553
361469,375087,356995,1.55,5,3,5,357210,106.6,1467,357210
357211,436335,436335,3.0,4,4,5,357210,14.1,1467,357210
357208,362969,359073,1.0,3,1,5,375087,290.7,1467,359073
359073,362969,370452,1.86,4,0,5,361469,232.1,1467,357210
362969,370452,356995,2.16,7,0,5,357211,44.3,1467,357211
356995,375087,357211,2.45,1,1,5,370452,59.2,1467,370452
361469,359073,370452,2.09,3,5,5,356995,146.1,1467,356995
370553,362969,436335,1.69,1,4,5,361469,214.8,1467,361469
375087,357208,357210,0.56,1,2,5,356995,24.6,1467,370553
357208,370452,361469,2.23,3,1,5,375087,49.7,1467,375087
370553,370452,362969,2.3,5,4,5,359073,203.0,1467,359073
361469,357211,375087,2.67,1,2,5,356995,115.9,1467,356995
357210,356995,361469,1.78,1,3,5,375087,118.6,1467,375087
361469,362969,359073,2.02,6,3,5,357211,107.7,1467,357211
356995,356995,357210,2.45,5,2,5,436335,58.9,1467,357210
362969,370452,356995,2.66,1,4,5,357208,292.2,1467,357208
357210,370452,357208,2.48,3,2,5,370553,135.5,1467,370553
375087,375087,370553,1.14,6,1,5,357211,69.9,1467,357211
356995,361469,370452,2.76,7,1,5,357210,202.6,1467,357210
362969,356995,361469,1.47,5,4,5,436335,132.7,1467,436335
362969,357208,357210,0.9,3,0,5,359073,100.9,1467,359073
361469,357208,359073,1.24,1,5,5,370452,191.1,1467,370452
362969,370452,362969,1.86,2,0,5,359073,159.0,1467,375087
370553,370452,370553,2.74,8,5,5,361469,260.5,1467,361469
362969,357210,357208,2.4,5,3,5,436335,47.3,1467,436335
370553,436335,357208,1.73,5,2,5,357210,172.0,1467,375087
361469,357208,361469,1.74,7,2,5,357210,269.9,1467,357210
370452,357210,359073,2.14,3,0,5,375087,259.2,1467,375087
436335,375087,357210,1.61,6,3,5,362969,208.7,1467,362969
370553,375087,436335,2.23,3,4,5,356995,285.8,1467,356995
357208,356995,357208,1.87,8,5,5,357210,45.8,1467,361469
357211,362969,436335,2.53,8,0,5,362969,124.5,1467,362969
357210,357211,370452,1.28,3,1,5,370553,183.7,1467,357211
362969,362969,370553,0.51,3,4,5,375087,149.8,1467,375087
356995,357208,357208,0.86,6,2,5,362969,73.4,1467,357208
356995,436335,375087,1.64,2,1,5,357210,205.8,1467,361469
357211,359073,375087,1.02,1,0,5,361469,141.8,1467,361469
370553,370553,357211,1.58,1,5,5,370452,105.5,1467,370452
370452,361469,436335,1.29,4,2,5,356995,77.3,1467,356995
357211,356995,370452,1.96,1,1,5,361469,186.5,1467,361469
370553,375087,359073,1.95,3,0,5,375087,115.2,1467,375087
357210,357208,362969,2.96,8,0,5,357210,109.4,1467,357210
356995,362969,357211,2.2,8,0,5,357210,165.6,1467,357210
357211,356995,375087,1.43,1,3,5,375087,277.1,1467,375087
361469,357211,370452,1.05,6,2,5,361469,185.0,1467,361469
357210,357211,436335,2.77,3,3,5,359073,165.7,1467,359073
357210,370553,370452,1.92,3,4,5,436335,111.2,1467,436335
357210,370553,370452,1.54,4,3,5,375087,134.2,1467,436335
356995,357208,356995,2.02,2,0,5,370452,169.7,1467,370452
356995,356995,436335,1.11,3,1,5,436335,59.5,1467,436335
375087,357211,361469,1.29,3,1,5,356995,27.0,1467,370553
356995,370452,375087,2.8,1,2,5,356995,220.8,1467,356995
357208,357208,370553,1.8,1,2,5,356995,47.5,1467,357208
361469,370553,436335,0.58,7,1,5,436335,19.3,1467,436335
357210,370452,370452,0.82,4,1,5,357210,168.3,1467,357210
357210,370553,361469,2.31,8,3,5,362969,183.3,1467,362969
436335,357208,370553,2.22,2,2,5,362969,66.2,1467,362969
357210,356995,375087,1.25,1,0,5,375087,173.3,1467,375087
370452,370553,359073,2.95,1,0,5,361469,4.9,1467,370553
362969,356995,357211,2.23,1,4,5,356995,161.3,1467,370553
370452,362969,357211,1.47,4,4,5,370452,56.6,1467,357210
356995,370452,436335,0.77,2,2,5,375087,80.9,1467,375087
357208,357211,436335,2.93,8,0,5,359073,206.6,1467,359073
357208,357208,370553,2.86,3,4,5,370553,141.2,1467,370553
357211,361469,370452,0.87,3,2,5,357208,286.8,1467,357208
375087,362969,362969,1.14,3,0,5,357208,132.5,1467,357208
375087,356995,357210,2.11,8,2,5,357211,49.3,1467,357211
436335,375087,370452,2.52,1,1,5,370553,87.1,1467,370553
436335,357208,357210,2.67,1,0,5,370452,33.7,1467,370452
357208,361469,356995,1.93,7,5,5,357210,111.4,1467,357210
362969,370553,357211,0.6,1,5,5,361469,181.6,1467,361469
370452,361469,357208,1.15,6,4,5,357210,202.6,1467,357210
357208,370452,370553,2.43,1,4,5,356995,33.9,1467,356995
356995,359073,356995,2.4,6,4,5,356995,206.1,1467,356995
375087,356995,361469,2.37,3,5,5,370452,294.5,1467,370452
361469,370452,370452,1.86,2,4,5,357208,28.0,1467,370452
357208,362969,362969,1.11,1,3,5,370553,203.9,1467,370553
436335,375087,357210,2.89,6,5,5,357210,21.1,1467,357210
375087,436335,362969,1.63,8,2,5,357208,202.0,1467,357208
357208,370452,370553,1.08,7,3,5,436335,212.2,1467,436335
357211,362969,361469,0.77,2,1,5,370452,29.7,1467,370452
370452,436335,357208,1.86,8,1,5,357211,219.1,1467,357211
436335,357210,370553,1.06,1,0,5,370452,114.9,1467,370452
359073,357208,359073,0.86,8,1,5,362969,150.0,1467,362969
356995,362969,362969,0.89,1,3,5,370553,298.1,1467,370553
370452,362969,357210,2.6,7,3,5,370553,22.4,1467,370553
370553,357211,357208,1.48,1,3,5,370553,69.9,1467,370553
370452,361469,357208,0.53,2,0,5,357208,190.5,1467,357208
361469,359073,362969,1.13,6,4,5,436335,54.3,1467,436335
357208,436335,357210,1.18,6,4,5,357211,82.1,1467,357211
357211,375087,362969,2.07,1,2,5,370553,213.2,1467,370553
361469,362969,370452,1.49,1,1,5,361469,148.4,1467,361469
361469,359073,370553,2.52,4,4,5,357210,124.8,1467,436335
375087,359073,362969,2.7,1,3,5,361469,132.8,1467,361469
370452,370452,436335,0.97,1,1,5,361469,1.9,1467,361469
357210,370452,375087,2.2,4,1,5,436335,118.6,1467,436335
362969,356995,357210,1.22,5,4,5,357208,178.8,1467,357208
436335,370452,362969,2.14,8,5,5,356995,84.7,1467,356995
357208,357208,357211,1.98,1,4,5,357208,54.1,1467,357208
357208,361469,359073,2.28,7,0,5,436335,152.8,1467,436335
436335,359073,436335,0.66,1,0,5,356995,269.3,1467,356995
370553,357208,362969,2.5,4,0,5,362969,120.3,1467,356995
357211,370452,370452,1.4,6,3,5,361469,198.4,1467,357211
375087,375087,357210,2.15,4,5,5,436335,186.8,1467,436335
362969,361469,375087,2.81,6,5,5,357211,282.7,1467,357211
356995,436335,357210,1.3,3,4,5,361469,102.9,1467,361469
357208,362969,357211,2.06,1,5,5,370452,73.5,1467,356995
356995,375087,361469,2.97,1,0,5,361469,26.8,1467,361469
359073,361469,361469,1.58,5,2,5,357210,184.3,1467,357210
362969,370452,370452,2.44,6,1,5,370553,4.7,1467,357211
436335,370452,359073,1.16,1,5,5,356995,200.9,1467,356995
370452,357210,361469,2.36,3,5,5,361469,213.3,1467,361469
359073,436335,357211,2.6,4,2,5,362969,244.0,1467,362969
375087,375087,357210,0.87,3,4,5,361469,281.3,1467,361469
357210,359073,362969,2.3,4,3,5,357210,38.4,1467,357210
357210,370452,362969,1.18,3,3,5,357211,87.7,1467,356995
362969,370553,357211,2.23,1,2,5,359073,259.3,1467,359073
361469,357211,356995,1.66,3,5,5,362969,33.7,1467,362969
370553,357208,359073,1.28,6,0,5,362969,295.0,1467,362969
356995,359073,356995,0.58,7,4,5,357211,297.4,1467,357211
370452,370553,356995,1.33,5,0,5,362969,134.7,1467,362969
370553,357208,357211,2.94,8,0,5,362969,90.2,1467,362969
357211,356995,357210,2.52,5,5,5,357211,104.2,1467,357211
357211,361469,356995,1.94,2,3,5,370553,252.4,1467,359073
356995,359073,375087,2.41,1,5,5,370452,214.4,1467,370452
436335,357208,357208,2.97,3,1,5,375087,221.3,1467,370553
370553,362969,436335,2.5,8,0,5,357211,51.8,1467,357211
357211,356995,357210,0.92,3,2,5,362969,212.1,1467,362969
359073,357208,356995,1.93,5,3,5,362969,199.2,1467,362969
362969,357211,370553,1.13,8,0,5,370452,18.1,1467,370452
370553,370452,362969,2.3,7,3,5,356995,181.5,1467,362969
357208,370452,357210,2.79,3,2,5,357210,173.2,1467,375087
362969,357210,361469,1.12,1,0,5,370452,94.9,1467,370452
357210,359073,361469,0.94,5,1,5,375087,185.4,1467,357211
362969,375087,362969,2.04,4,0,5,357210,71.6,1467,357210
357210,356995,436335,0.65,8,0,5,357210,251.4,1467,357210
370452,357210,362969,2.07,6,1,5,375087,65.9,1467,375087
370553,357210,436335,1.04,2,1,5,361469,255.0,1467,362969
375087,357208,357210,1.51,1,1,5,370452,147.4,1467,361469
375087,361469,357211,2.32,1,0,5,370452,80.7,1467,370452
357210,370553,436335,2.65,3,0,5,359073,1.3,1467,357208
370553,357210,361469,1.24,1,1,5,375087,32.4,1467,375087
370553,370553,359073,0.91,7,2,5,436335,114.3,1467,436335
361469,357208,361469,1.36,1,3,5,370553,189.1,1467,370553
436335,436335,375087,2.71,5,4,5,436335,46.6,1467,436335
357210,370452,361469,2.94,4,0,5,356995,234.2,1467,356995
359073,375087,359073,2.16,1,1,5,361469,243.7,1467,361469
357211,362969,361469,1.44,5,0,5,370452,262.5,1467,370452
375087,362969,356995,1.03,3,1,5,357208,88.9,1467,357208
370452,357208,357210,2.81,1,0,5,356995,9.4,1467,356995
357211,370553,357211,2.34,4,1,5,370553,269.1,1467,370553
357210,362969,375087,2.92,6,5,5,370553,213.1,1467,357211
357208,357210,370452,2.01,5,4,5,357211,213.7,1467,357211
370452,375087,370452,2.24,1,1,5,359073,146.2,1467,359073
357210,361469,362969,2.03,6,1,5,436335,183.4,1467,436335
375087,359073,370452,2.37,4,5,5,370553,269.2,1467,362969
370452,359073,357210,2.47,2,2,5,370553,3.5,1467,370553
375087,375087,362969,1.75,6,4,5,357210,40.1,1467,357210
359073,357208,370452,1.15,8,4,5,357210,30.2,1467,357210
436335,361469,370553,2.29,1,1,5,357208,266.3,1467,357208
370553,361469,375087,0.93,8,0,5,357208,295.7,1467,357211
356995,375087,436335,0.66,6,0,5,436335,283.9,1467,436335
357210,361469,361469,2.31,5,3,5,361469,204.9,1467,361469
436335,356995,357211,2.86,3,2,5,357210,282.8,1467,357210
357208,436335,361469,2.76,1,1,5,361469,95.8,1467,361469
357208,357211,361469,0.5,1,2,5,356995,165.9,1467,356995
356995,362969,361469,1.12,3,1,5,356995,64.1,1467,356995
370452,370452,361469,1.37,6,3,5,357210,52.1,1467,362969
356995,357211,375087,2.92,3,0,5,370553,132.5,1467,370553
370553,436335,436335,0.92,1,0,5,359073,237.9,1467,359073
359073,370452,375087,2.62,1,3,5,375087,153.6,1467,375087
361469,361469,361469,2.19,1,5,5,375087,144.2,1467,375087
436335,370452,362969,1.16,3,4,5,356995,207.7,1467,370553
356995,359073,359073,2.44,2,4,5,357210,243.0,1467,359073
357210,361469,357211,1.88,4,0,5,362969,271.1,1467,362969
356995,357210,370452,0.71,2,1,5,370553,78.7,1467,370553
357208,361469,359073,0.77,2,4,5,356995,297.1,1467,356995
357210,362969,370452,0.98,5,1,5,357208,217.1,1467,357208
357208,359073,375087,1.09,1,0,5,362969,234.5,1467,357208
370553,361469,370452,1.99,3,3,5,357208,197.2,1467,357208
370553,436335,370553,1.93,8,1,5,375087,284.2,1467,375087
356995,362969,357211,0.77,4,1,5,436335,14.9,1467,362969
361469,357208,357210,1.34,1,2,5,370553,149.9,1467,370553
436335,436335,356995,1.29,3,0,5,370553,280.8,1467,370553
375087,357211,370452,2.3,5,2,5,375087,60.1,1467,362969
370553,370452,436335,0.79,8,1,5,436335,168.4,1467,436335
362969,357210,375087,1.73,7,4,5,375087,78.7,1467,375087
362969,357208,361469,2.87,4,3,5,436335,270.8,1467,436335
359073,361469,357211,2.93,1,1,5,357208,191.8,1467,357208
357211,361469,362969,0.87,5,3,5,357210,155.4,1467,357210
362969,370452,359073,1.77,6,0,5,362969,120.5,1467,362969
375087,370553,362969,1.76,2,2,5,370452,42.0,1467,370452
359073,361469,361469,1.83,6,4,5,362969,203.3,1467,362969
359073,359073,359073,0.64,2,2,5,356995,180.9,1467,356995
357210,370553,357210,1.14,4,1,5,359073,183.5,1467,359073
362969,370553,370553,0.75,7,3,5,357211,147.9,1467,357211
370553,375087,356995,2.07,1,2,5,357211,45.7,1467,356995
357210,357211,361469,1.41,6,1,5,357208,4.6,1467,357208
357208,436335,375087,0.76,1,3,5,357208,84.1,1467,357208
359073,436335,357210,1.32,4,3,5,357208,265.9,1467,357210
357208,436335,370553,0.98,5,3,5,370553,31.1,1467,436335
361469,357211,436335,2.55,1,4,5,361469,287.7,1467,370452
359073,375087,357211,2.1,3,1,5,375087,102.9,1467,375087
