lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
201427,191427,201427,0.55,1,3,5,162794,261.9,577,162794
198793,198793,258860,0.88,1,2,5,162243,42.9,577,162243
258860,210152,185123,0.84,1,1,5,188499,120.7,577,258920
162243,342817,198793,2.28,8,2,5,201427,229.8,577,201427
258860,201427,210152,2.13,3,4,5,258860,263.4,577,258860
201427,258860,201427,2.97,7,4,5,198013,269.9,577,198013
185123,162243,198793,2.22,2,1,5,258920,246.8,577,258920
210152,342817,188499,1.8,2,5,5,195072,227.7,577,195072
201427,258860,162794,1.38,2,1,5,185123,264.0,577,185123
201427,342817,210152,1.16,3,5,5,342817,254.9,577,342817
210152,162243,258860,1.62,3,4,5,162794,103.0,577,198013
198013,201427,162243,1.55,3,0,5,195072,85.1,577,201427
198793,201427,185123,1.14,5,0,5,342817,123.5,577,342817
201427,210152,162243,1.63,5,3,5,210152,239.2,577,210152
195072,185123,210152,2.98,7,5,5,201427,125.7,577,201427
195072,342817,210152,1.17,3,0,5,188499,207.5,577,188499
258920,162794,370965,1.5,8,3,5,258920,103.9,577,258920
370965,162794,198793,1.34,1,2,5,201427,102.1,577,201427
191427,188499,370965,0.68,2,5,5,195072,34.4,577,195072
210152,162243,188499,1.17,4,5,5,342817,201.4,577,342817
201427,210152,201427,0.79,6,2,5,185123,269.2,577,185123
195072,195072,162794,2.44,6,4,5,185123,146.9,577,185123
162794,162794,162243,2.72,2,4,5,162794,248.3,577,162794
198013,210152,258920,2.31,1,0,5,195072,265.8,577,195072
198793,210152,195072,1.75,4,2,5,162243,207.8,577,342817
185123,201427,201427,1.7,5,4,5,210152,277.5,577,210152
198013,370965,195072,2.84,6,5,5,342817,23.2,577,342817
201427,162243,198013,2.56,8,3,5,370965,110.2,577,188499
370965,185123,198013,1.9,7,0,5,201427,129.5,577,201427
370965,201427,162243,2.58,4,5,5,370965,145.6,577,370965
201427,162794,162794,0.98,5,3,5,162794,26.3,577,162794
258860,195072,185123,0.79,1,2,5,201427,174.0,577,201427
258920,342817,258920,1.21,3,3,5,188499,89.2,577,210152
185123,188499,342817,2.14,4,5,5,185123,261.9,577,185123
370965,162794,188499,0.85,3,2,5,198793,66.4,577,342817
198793,201427,258860,1.15,1,3,5,210152,225.6,577,195072
201427,258920,188499,2.7,8,0,5,210152,201.4,577,210152
210152,370965,162794,1.18,3,5,5,342817,85.4,577,342817
188499,191427,195072,2.91,2,3,5,370965,266.7,577,370965
188499,191427,370965,0.82,3,0,5,370965,120.3,577,370965
210152,188499,201427,2.32,1,3,5,258860,8.0,577,258860
210152,258920,162794,1.25,2,5,5,191427,232.7,577,191427
198793,370965,210152,1.85,1,2,5,191427,291.1,577,191427
258920,258920,195072,2.31,1,0,5,185123,289.4,577,185123
198793,198013,258920,2.43,1,2,5,201427,142.8,577,191427
210152,201427,258860,1.91,7,4,5,370965,188.4,577,370965
