lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
357208,360995,362969,1.84,3,5,5,382731,18.1,1468,362969
364343,361469,366155,2.51,1,3,5,361469,290.9,1468,366155
382731,357208,362969,0.85,2,4,5,366155,140.5,1468,361469
366155,367226,360995,2.43,3,0,5,382731,194.0,1468,382731
382731,362969,360995,0.74,6,0,5,360995,106.0,1468,360995
355913,364343,367226,2.58,3,5,5,366155,15.2,1468,366155
362969,362969,355913,2.34,2,4,5,367226,131.9,1468,367226
366155,382731,382614,2.62,5,0,5,382731,40.4,1468,382731
367226,367226,362969,1.48,6,2,5,360995,15.1,1468,360995
361469,367226,382731,1.48,3,3,5,362969,177.4,1468,362969
361469,362969,361469,0.71,3,0,5,382731,212.1,1468,382731
382614,366155,366155,1.54,1,3,5,360995,184.0,1468,357208
362969,362969,361469,1.15,3,0,5,362969,254.6,1468,362969
361469,355913,382614,2.26,1,2,5,364343,280.3,1468,364343
382614,362969,366155,2.29,1,3,5,360995,82.4,1468,360995
364343,382614,361469,0.97,5,0,5,362969,173.2,1468,362969
382731,366155,367226,2.85,1,4,5,360995,170.9,1468,357208
366155,357208,360995,1.34,5,1,5,355913,23.8,1468,355913
382614,357208,366155,2.54,3,4,5,382731,172.4,1468,382731
361469,362969,361469,2.09,8,2,5,366155,267.1,1468,355913
382614,364343,360995,2.48,2,3,5,360995,207.5,1468,367226
360995,367226,382614,1.39,3,5,5,382614,273.0,1468,355913
382614,362969,361469,2.03,1,4,5,367226,208.3,1468,367226
357208,361469,357208,1.21,5,1,5,355913,184.5,1468,355913
357208,362969,366155,1.63,7,3,5,382731,202.3,1468,382731
362969,382614,382731,2.33,1,1,5,367226,204.8,1468,367226
382614,360995,367226,0.9,1,3,5,364343,129.8,1468,364343
362969,357208,366155,1.25,2,1,5,366155,249.6,1468,366155
360995,382614,361469,2.46,2,5,5,364343,253.2,1468,364343
382614,382731,361469,1.16,1,3,5,361469,112.9,1468,361469
361469,362969,382614,1.16,2,3,5,367226,110.7,1468,367226
362969,367226,382731,1.57,1,2,5,382614,204.3,1468,382614
360995,367226,360995,0.76,5,5,5,366155,255.1,1468,366155
360995,366155,382731,1.93,1,5,5,360995,238.5,1468,360995
357208,364343,366155,0.74,1,0,5,382614,183.9,1468,382614
361469,360995,366155,1.28,6,2,5,357208,227.8,1468,360995
360995,364343,382731,1.49,1,4,5,361469,231.6,1468,382614
362969,366155,360995,2.4,7,1,5,382731,55.0,1468,382731
360995,361469,361469,2.41,7,1,5,364343,172.3,1468,364343
366155,361469,364343,2.23,2,0,5,360995,12.0,1468,360995
357208,360995,382614,2.73,1,0,5,361469,2.0,1468,361469
357208,361469,355913,1.01,6,5,5,355913,16.5,1468,355913
362969,360995,382614,2.53,3,1,5,355913,183.7,1468,355913
355913,357208,364343,0.93,8,0,5,360995,200.0,1468,382731
382731,367226,355913,2.86,2,4,5,367226,144.0,1468,367226
357208,360995,367226,1.29,1,1,5,357208,36.1,1468,357208
366155,382614,367226,1.34,5,2,5,361469,2.6,1468,382614
382614,366155,367226,0.58,8,2,5,367226,123.4,1468,367226
382614,357208,361469,1.88,3,1,5,357208,62.6,1468,364343
362969,355913,361469,1.49,6,0,5,382731,32.3,1468,382731
361469,366155,357208,1.08,1,4,5,361469,102.9,1468,361469
357208,360995,361469,2.95,4,3,5,360995,117.2,1468,360995
361469,355913,360995,2.68,4,4,5,366155,211.0,1468,366155
360995,361469,355913,0.57,4,5,5,366155,4.1,1468,362969
355913,361469,360995,1.68,8,2,5,355913,218.9,1468,355913
366155,360995,367226,0.97,3,5,5,360995,232.1,1468,367226
362969,355913,360995,1.63,8,4,5,382614,255.7,1468,382614
366155,366155,360995,1.42,1,4,5,357208,84.7,1468,357208
366155,357208,366155,0.78,7,1,5,367226,74.4,1468,355913
357208,382731,361469,2.97,2,2,5,367226,225.0,1468,364343
355913,362969,382731,1.06,1,1,5,357208,122.1,1468,382614
367226,355913,357208,1.52,5,5,5,382731,231.0,1468,382731
382731,360995,357208,2.58,3,2,5,362969,106.3,1468,366155
366155,360995,357208,1.49,8,4,5,360995,48.4,1468,367226
362969,357208,355913,0.63,7,0,5,362969,250.6,1468,362969
367226,360995,366155,1.02,4,5,5,362969,111.1,1468,362969
360995,355913,367226,1.75,2,3,5,361469,103.5,1468,361469
362969,382614,361469,1.66,4,3,5,366155,131.6,1468,362969
357208,355913,355913,1.41,5,2,5,355913,130.5,1468,355913
362969,357208,367226,0.6,8,4,5,366155,12.5,1468,364343
360995,361469,382731,2.68,3,2,5,362969,107.3,1468,362969
362969,357208,360995,1.09,1,1,5,382614,196.2,1468,382614
366155,366155,364343,0.92,7,5,5,382731,4.7,1468,382731
361469,361469,367226,1.93,3,1,5,366155,262.7,1468,367226
355913,355913,367226,2.48,1,1,5,366155,201.2,1468,366155
364343,367226,382614,1.67,8,2,5,360995,96.2,1468,360995
364343,362969,357208,2.52,7,2,5,360995,113.7,1468,360995
355913,364343,360995,0.74,8,1,5,364343,208.7,1468,382731
355913,366155,382731,1.54,4,1,5,382614,53.3,1468,355913
366155,362969,366155,2.18,1,1,5,366155,207.7,1468,360995
361469,364343,382614,1.51,5,5,5,364343,271.3,1468,382731
364343,362969,361469,0.76,2,0,5,362969,248.4,1468,360995
364343,367226,364343,2.83,1,4,5,382731,257.1,1468,364343
364343,382614,382614,0.92,8,2,5,366155,147.0,1468,361469
364343,382731,382731,1.26,1,5,5,357208,50.7,1468,357208
362969,362969,357208,0.72,1,2,5,367226,146.6,1468,367226
362969,361469,367226,1.7,3,2,5,361469,52.2,1468,357208
360995,367226,355913,2.4,8,5,5,382614,291.3,1468,382614
360995,357208,361469,0.54,7,0,5,382731,157.1,1468,382731
367226,361469,357208,1.63,1,5,5,361469,38.5,1468,361469
357208,361469,367226,1.83,1,2,5,357208,39.5,1468,357208
361469,382614,357208,2.49,5,4,5,355913,243.2,1468,362969
361469,361469,382614,2.59,5,5,5,382614,126.0,1468,382614
367226,364343,364343,1.39,1,2,5,361469,119.2,1468,361469
