lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
189110,228477,320341,0.58,1,2,5,258920,50.2,581,258920
228477,320341,203720,2.31,2,4,5,228477,255.5,581,228477
203720,258920,263642,0.64,3,3,5,204021,23.5,581,228477
212084,258920,320341,2.5,3,0,5,212084,124.4,581,212084
228477,212084,263642,1.31,3,2,5,185123,22.9,581,185123
204596,189110,204021,2.03,1,2,5,204596,234.8,581,204596
189110,189110,203720,2.33,7,4,5,212084,271.0,581,212084
263642,203720,258920,0.99,7,4,5,263642,157.3,581,263642
247454,247454,228477,1.43,1,5,5,263642,267.0,581,263642
204021,228477,212084,1.85,2,4,5,247454,287.2,581,247454
263642,320341,228477,1.64,3,1,5,212084,156.3,581,212084
247454,247454,203720,1.03,8,5,5,263642,267.7,581,247454
263642,189110,247454,0.8,5,0,5,185123,90.0,581,185123
204596,212084,204596,2.46,1,4,5,204021,260.5,581,204021
189110,247454,228477,2.59,6,1,5,204596,206.1,581,204596
212084,204021,263642,2.51,8,4,5,212084,27.9,581,212084
212084,228477,263642,2.57,3,5,5,247454,276.7,581,247454
204596,212084,258920,0.6,4,5,5,247454,260.0,581,247454
228477,247454,320341,0.79,1,0,5,203720,221.4,581,203720
212084,212084,189110,2.4,1,5,5,185123,200.3,581,185123
212084,258920,204596,1.83,8,0,5,204021,192.7,581,204021
228477,203720,228477,1.02,3,5,5,212084,75.6,581,212084
258920,204596,228477,1.33,1,2,5,185123,268.8,581,185123
247454,258920,263642,1.46,1,3,5,258920,285.0,581,263642
258920,263642,320341,2.48,5,2,5,263642,109.1,581,263642
204596,228477,189110,2.22,1,0,5,204596,214.4,581,212084
204596,189110,204596,1.64,7,5,5,247454,130.0,581,247454
189110,263642,204596,2.58,7,4,5,204021,160.3,581,247454
320341,189110,258920,1.82,3,5,5,263642,189.4,581,263642
320341,228477,204596,2.33,7,5,5,228477,6.2,581,204596
320341,204596,203720,0.65,1,4,5,247454,145.9,581,228477
204021,204596,258920,1.75,1,1,5,263642,153.5,581,263642
212084,203720,204021,0.73,1,2,5,204596,216.0,581,204596
212084,212084,320341,1.62,1,2,5,204596,90.1,581,204021
320341,258920,204021,0.58,1,5,5,185123,238.2,581,185123
320341,203720,212084,1.73,3,3,5,258920,63.6,581,258920
263642,258920,189110,1.41,5,5,5,263642,279.0,581,204596
320341,204021,203720,2.04,1,0,5,204596,280.5,581,204596
203720,204021,203720,2.69,7,0,5,204596,144.4,581,204596
320341,258920,189110,0.77,2,0,5,185123,141.3,581,185123
212084,320341,212084,2.31,6,4,5,204021,184.6,581,247454
320341,212084,320341,2.7,2,1,5,203720,241.6,581,228477
203720,228477,263642,1.1,1,3,5,263642,254.9,581,263642
189110,320341,247454,1.53,2,3,5,228477,31.6,581,228477
204596,189110,204596,1.4,8,2,5,320341,278.4,581,320341
263642,189110,203720,0.74,1,2,5,263642,110.1,581,263642
212084,320341,189110,0.55,4,4,5,247454,104.5,581,247454
203720,189110,247454,2.69,2,4,5,189110,40.4,581,185123
247454,228477,204596,2.89,1,4,5,228477,265.1,581,228477
247454,320341,258920,2.27,4,2,5,263642,249.2,581,263642
212084,247454,189110,1.71,2,4,5,263642,124.7,581,263642
258920,247454,203720,0.97,2,5,5,203720,159.7,581,203720
204021,204596,203720,1.9,1,5,5,258920,134.0,581,258920
204596,247454,203720,0.62,8,4,5,203720,11.6,581,203720
263642,189110,247454,2.66,1,3,5,320341,134.2,581,258920
228477,203720,204021,2.8,3,1,5,203720,8.9,581,258920
204021,247454,247454,1.01,7,5,5,320341,61.8,581,320341
212084,228477,204596,2.83,1,5,5,185123,142.4,581,185123
204596,203720,258920,0.84,7,4,5,247454,237.0,581,247454
258920,204021,263642,1.14,3,2,5,204596,8.4,581,204596
204596,263642,204596,2.16,7,0,5,203720,2.2,581,203720
212084,228477,320341,0.58,3,0,5,204596,29.3,581,204596
258920,263642,247454,2.97,7,4,5,203720,42.8,581,185123
212084,204021,203720,1.49,2,4,5,247454,5.6,581,247454
212084,189110,258920,1.18,4,5,5,263642,204.9,581,204596
320341,203720,263642,1.44,1,3,5,204021,116.2,581,204021
212084,320341,263642,1.67,1,1,5,204596,108.1,581,204596
263642,204021,189110,0.53,3,4,5,204596,36.7,581,204596
204596,228477,247454,2.97,3,1,5,263642,51.5,581,263642
247454,247454,204021,2.25,3,2,5,263642,152.9,581,263642
204596,258920,320341,1.89,8,3,5,203720,257.0,581,203720
263642,212084,212084,2.21,1,2,5,228477,181.6,581,204596
212084,263642,204021,2.59,3,1,5,212084,207.2,581,212084
263642,228477,247454,0.86,1,5,5,203720,255.4,581,203720
203720,212084,320341,2.16,1,1,5,263642,177.7,581,212084
320341,320341,263642,2.32,3,2,5,258920,45.0,581,258920
204021,204596,263642,1.49,4,0,5,204021,146.8,581,212084
320341,320341,189110,2.36,1,5,5,185123,116.4,581,185123
203720,212084,263642,1.28,8,0,5,204021,272.6,581,204021
320341,247454,204596,0.75,8,5,5,247454,42.4,581,247454
320341,212084,320341,1.62,1,3,5,204596,124.3,581,204596
204021,263642,204596,1.22,2,3,5,204596,182.2,581,204596
263642,247454,228477,2.07,8,4,5,203720,242.4,581,185123
203720,247454,189110,2.18,8,1,5,203720,142.1,581,228477
258920,258920,204021,1.8,1,4,5,228477,204.4,581,228477
212084,228477,228477,1.0,3,4,5,228477,109.7,581,228477
189110,203720,204021,1.91,3,5,5,203720,14.5,581,247454
247454,320341,263642,1.4,4,4,5,247454,152.7,581,247454
189110,247454,203720,1.06,6,2,5,320341,42.8,581,320341
212084,263642,203720,1.77,1,4,5,320341,224.4,581,204021
204596,204596,204021,1.43,8,2,5,212084,18.4,581,212084
320341,189110,258920,0.86,2,2,5,247454,175.7,581,212084
189110,320341,212084,0.61,2,5,5,185123,119.6,581,185123
258920,204021,189110,2.8,3,2,5,203720,16.5,581,203720
320341,204596,258920,2.04,4,4,5,203720,123.1,581,203720
320341,320341,204596,0.75,8,4,5,203720,254.5,581,320341
263642,203720,258920,2.13,7,3,5,320341,57.1,581,320341
258920,203720,204021,2.35,2,4,5,212084,278.6,581,185123
212084,203720,247454,1.51,1,4,5,228477,248.0,581,228477
203720,320341,247454,2.29,5,4,5,228477,283.5,581,320341
212084,204596,204021,2.83,1,3,5,320341,196.9,581,212084
203720,204021,204021,1.64,3,5,5,203720,173.9,581,203720
203720,203720,204596,2.9,1,0,5,189110,273.3,581,258920
203720,212084,204021,2.82,3,5,5,204596,130.3,581,185123
203720,263642,228477,2.29,2,5,5,204596,130.3,581,204596
212084,263642,189110,2.54,3,4,5,204021,184.6,581,204021
228477,212084,258920,1.25,6,0,5,185123,106.9,581,185123
189110,189110,189110,2.57,3,2,5,204596,131.8,581,204596
228477,258920,320341,0.64,7,0,5,204021,75.2,581,204021
189110,228477,204021,1.48,6,2,5,258920,178.7,581,258920
247454,228477,204596,2.43,4,5,5,247454,255.8,581,247454
228477,320341,247454,1.1,2,5,5,247454,279.9,581,247454
320341,204021,204596,2.05,1,4,5,228477,27.4,581,185123
263642,212084,203720,1.89,4,4,5,247454,242.2,581,247454
258920,212084,263642,2.78,2,3,5,263642,116.0,581,263642
263642,203720,203720,1.39,8,5,5,320341,267.4,581,320341
189110,204596,247454,2.31,3,2,5,247454,179.9,581,203720
212084,204596,320341,1.28,1,3,5,212084,261.3,581,203720
258920,203720,203720,2.7,8,0,5,212084,98.0,581,212084
212084,263642,247454,0.83,8,1,5,185123,200.7,581,185123
204021,320341,203720,1.65,1,4,5,203720,115.9,581,204596
204596,263642,189110,2.33,1,4,5,228477,18.9,581,228477
212084,228477,204021,1.87,5,1,5,320341,167.2,581,320341
247454,320341,247454,2.84,7,2,5,320341,124.0,581,320341
203720,247454,212084,0.97,7,0,5,263642,101.2,581,204021
228477,203720,189110,1.91,1,2,5,228477,4.0,581,228477
247454,204021,212084,2.33,6,4,5,320341,188.1,581,320341
258920,204021,258920,1.03,8,3,5,263642,165.6,581,263642
189110,203720,263642,0.79,6,4,5,185123,178.7,581,185123
189110,204596,203720,0.66,1,4,5,212084,4.0,581,212084
263642,263642,204021,2.4,8,4,5,263642,262.6,581,263642
203720,212084,228477,0.75,3,4,5,263642,41.6,581,263642
228477,212084,204021,2.77,1,5,5,204021,288.6,581,204021
204596,320341,247454,0.68,8,2,5,185123,229.8,581,185123
247454,263642,204596,0.79,2,3,5,247454,296.9,581,263642
204021,203720,212084,2.44,5,1,5,258920,231.8,581,258920
247454,258920,189110,1.67,5,2,5,203720,212.5,581,204596
247454,228477,247454,1.21,1,1,5,203720,202.8,581,203720
258920,212084,320341,1.79,8,5,5,204596,30.8,581,247454
263642,204021,204021,1.69,7,4,5,247454,211.8,581,247454
228477,204021,204596,2.26,1,5,5,203720,214.5,581,203720
204596,204596,212084,2.21,2,5,5,247454,79.2,581,247454
258920,263642,320341,1.21,1,2,5,189110,64.7,581,228477
212084,204596,204596,1.31,7,4,5,320341,244.2,581,320341
204021,320341,212084,0.52,3,2,5,263642,268.1,581,263642
263642,228477,247454,2.84,3,5,5,185123,162.9,581,185123
263642,247454,263642,1.47,6,3,5,320341,110.6,581,320341
258920,228477,247454,1.51,5,3,5,263642,106.3,581,263642
212084,189110,228477,1.34,5,2,5,212084,167.5,581,258920
204596,320341,203720,1.74,3,0,5,212084,211.3,581,204596
320341,203720,228477,1.24,1,4,5,203720,286.7,581,228477
258920,258920,203720,2.88,1,3,5,258920,5.3,581,228477
189110,189110,212084,2.68,1,4,5,203720,151.0,581,203720
247454,204021,204596,2.0,1,2,5,263642,73.4,581,263642
203720,189110,189110,2.1,5,2,5,320341,264.4,581,320341
212084,247454,263642,1.09,1,4,5,204596,282.9,581,258920
228477,263642,228477,2.65,3,4,5,263642,187.9,581,204021
228477,204596,212084,1.42,2,1,5,228477,41.5,581,228477
320341,204596,263642,0.7,5,1,5,204596,87.0,581,204596
212084,203720,320341,2.01,2,4,5,204021,17.4,581,204021
258920,247454,320341,1.15,3,2,5,212084,272.6,581,204021
189110,228477,263642,0.62,8,4,5,247454,24.0,581,247454
258920,203720,263642,1.94,1,5,5,228477,197.8,581,228477
258920,203720,320341,1.66,5,2,5,320341,202.7,581,320341
228477,204021,189110,2.76,2,2,5,185123,230.8,581,185123
258920,320341,320341,2.32,3,1,5,204596,269.3,581,204596
258920,228477,204596,0.79,1,1,5,204596,282.0,581,204596
212084,189110,247454,2.64,2,1,5,212084,108.7,581,263642
258920,247454,204596,2.44,1,2,5,203720,230.4,581,203720
189110,189110,189110,1.75,7,3,5,228477,75.6,581,228477
203720,247454,320341,1.3,1,3,5,228477,38.9,581,228477
204021,247454,212084,0.95,1,5,5,185123,70.8,581,185123
247454,263642,203720,1.78,2,3,5,258920,38.0,581,258920
228477,203720,189110,2.38,1,5,5,228477,253.5,581,228477
203720,203720,204596,2.17,1,4,5,212084,193.5,581,212084
263642,263642,258920,0.81,7,2,5,258920,185.4,581,258920
204021,263642,189110,1.09,4,4,5,247454,294.5,581,247454
203720,189110,263642,2.82,2,0,5,212084,170.5,581,212084
203720,320341,263642,1.71,2,2,5,247454,123.0,581,185123
258920,203720,320341,1.04,8,2,5,204596,189.2,581,204596
247454,212084,212084,2.73,1,4,5,204021,29.2,581,204021
320341,320341,228477,1.49,3,1,5,258920,129.2,581,258920
320341,204021,263642,2.44,3,1,5,228477,27.3,581,204596
204596,203720,203720,1.23,7,0,5,263642,260.0,581,263642
258920,258920,189110,1.26,1,5,5,204021,99.6,581,204021
258920,320341,189110,1.18,1,2,5,185123,205.6,581,185123
189110,204021,263642,2.19,8,2,5,320341,116.6,581,320341
189110,204596,204596,2.82,1,0,5,247454,169.7,581,203720
228477,247454,263642,1.66,2,1,5,258920,77.2,581,258920
258920,320341,204596,0.85,1,4,5,228477,246.6,581,228477
320341,189110,212084,1.04,1,5,5,228477,11.5,581,185123
204021,258920,212084,0.76,3,1,5,185123,177.5,581,185123
320341,247454,258920,2.52,2,2,5,204596,55.0,581,204021
258920,228477,203720,1.16,1,1,5,204021,214.6,581,204021
189110,247454,204596,2.41,2,4,5,258920,201.4,581,247454
203720,258920,204021,0.58,3,5,5,320341,174.1,581,212084
189110,204021,263642,0.62,1,0,5,212084,104.5,581,263642
204596,247454,258920,2.49,1,5,5,247454,96.5,581,204596
204596,204021,320341,1.99,2,1,5,228477,68.3,581,228477
189110,203720,263642,0.73,2,5,5,263642,64.5,581,263642
212084,204596,203720,0.75,6,4,5,247454,101.5,581,247454
204596,228477,203720,0.8,5,4,5,204021,242.8,581,247454
263642,204021,212084,1.49,1,5,5,263642,259.1,581,263642
247454,204596,263642,0.82,1,4,5,204596,176.7,581,204021
203720,228477,204021,2.1,2,1,5,263642,229.3,581,263642
247454,247454,320341,2.09,5,2,5,212084,252.1,581,212084
204021,189110,258920,0.86,8,0,5,258920,289.0,581,258920
263642,204596,228477,1.87,4,5,5,247454,64.4,581,247454
212084,320341,228477,1.91,3,2,5,204596,92.9,581,204596
247454,258920,258920,2.53,3,1,5,185123,189.6,581,185123
263642,204021,247454,1.18,8,0,5,189110,187.4,581,258920
204596,212084,263642,1.22,3,3,5,263642,0.1,581,263642
258920,189110,320341,1.01,1,4,5,203720,83.4,581,228477
212084,189110,189110,0.59,1,0,5,263642,205.5,581,204021
204021,212084,258920,2.96,8,0,5,189110,290.1,581,258920
204596,212084,204596,1.83,4,4,5,204021,193.0,581,228477
189110,263642,189110,1.95,4,4,5,263642,164.9,581,263642
320341,189110,204021,0.8,1,2,5,263642,177.6,581,263642
204596,204021,258920,2.77,1,4,5,185123,120.0,581,185123
189110,203720,203720,0.64,7,0,5,212084,299.4,581,263642
247454,263642,203720,2.69,2,4,5,228477,79.9,581,228477
203720,320341,203720,1.83,3,0,5,212084,167.1,581,263642
247454,263642,204021,1.14,2,0,5,228477,276.5,581,185123
189110,228477,258920,0.68,1,3,5,189110,272.7,581,228477
189110,320341,263642,0.86,1,1,5,263642,122.5,581,263642
320341,204596,320341,2.77,1,5,5,258920,2.3,581,258920
